X(mm),Y(mm),Z(mm)
-7.078783175973933339e+01,-3.523824014378298841e+01,1.559379933300635059e+02
-7.075798483376915726e+01,-3.523538769691856487e+01,1.559384091189070887e+02
-7.072803964622725914e+01,-3.523758674724515316e+01,1.559386905875573746e+02
-7.069809926662905752e+01,-3.523937928967769295e+01,1.559389829005591821e+02
-7.066833827579125682e+01,-3.523205967264283345e+01,1.559395174831534803e+02
-7.063880131229231552e+01,-3.521268739581831397e+01,1.559403726665439649e+02
-7.060887992817067982e+01,-3.521363219647768972e+01,1.559406874926673368e+02
-7.057901149614457381e+01,-3.521171281409660736e+01,1.559410785093167249e+02
-7.054914734624419737e+01,-3.520942616422769333e+01,1.559414793242085580e+02
-7.051931101238378119e+01,-3.520597070572300424e+01,1.559419111601703207e+02
-7.048953219392276992e+01,-3.519926527144277628e+01,1.559424294783902099e+02
-7.045961852102011846e+01,-3.519951249162198081e+01,1.559427629198974614e+02
-7.042967766332593271e+01,-3.520123802457992923e+01,1.559430570349464062e+02
-7.039961889261272177e+01,-3.520929028308642472e+01,1.559431828626615868e+02
-7.036945111945379949e+01,-3.522293704430735772e+01,1.559431599335993042e+02
-7.033946568460551418e+01,-3.522719422424165003e+01,1.559433866786408487e+02
-7.030965078015987046e+01,-3.522226278104058395e+01,1.559438578440713172e+02
-7.027987530816268702e+01,-3.521519005286003789e+01,1.559443859718787166e+02
-7.024992429079991041e+01,-3.521732217739281623e+01,1.559446693011729508e+02
-7.022011078494536207e+01,-3.521223128407460479e+01,1.559451447257705468e+02
-7.019021410982334430e+01,-3.521174166851566412e+01,1.559454977295735887e+02
-7.016031691659684100e+01,-3.521089865362315408e+01,1.559458602143664621e+02
-7.013032107446250052e+01,-3.521556936719670716e+01,1.559460759903425071e+02
-7.010020110727217002e+01,-3.522672861539453493e+01,1.559461192112919719e+02
-7.007032869757290428e+01,-3.522456205507818794e+01,1.559465169003258040e+02
-7.004032244579076405e+01,-3.522969479259482739e+01,1.559467204071744959e+02
-7.000990330706170539e+01,-3.525655678677751581e+01,1.559463460179951255e+02
-6.998033296748111809e+01,-3.523840344347410536e+01,1.559471688996103751e+02
-6.995050922611120825e+01,-3.523367288587353841e+01,1.559476347794957292e+02
-6.992055466572635680e+01,-3.523599911856961597e+01,1.559479129447738330e+02
-6.989067736731185221e+01,-3.523417442060976157e+01,1.559483015236060908e+02
-6.986094165571074655e+01,-3.522474539696426632e+01,1.559488923747754541e+02
-6.983111722806191324e+01,-3.522001474628024198e+01,1.559493582649584198e+02
-6.980117855200718679e+01,-3.522135232527293169e+01,1.559496627567604321e+02
-6.977134556279324329e+01,-3.521692425281854355e+01,1.559501206317551123e+02
-6.974137599150090239e+01,-3.522005435874743284e+01,1.559503774147867432e+02
-6.971143914811753461e+01,-3.522120715218481735e+01,1.559506868400974611e+02
-6.968203577764884926e+01,-3.519388707129947136e+01,1.559517535958072756e+02
-6.965223168065652715e+01,-3.518774715078254900e+01,1.559522570392369687e+02
-6.962219262962334199e+01,-3.519433072361032089e+01,1.559524220201615492e+02
-6.959227862240328477e+01,-3.519428920270114247e+01,1.559527632069968774e+02
-6.956230475088904086e+01,-3.519732462726928901e+01,1.559530225774464611e+02
-6.953233944282577284e+01,-3.520002048358546887e+01,1.559532909548139514e+02
-6.950256271185823209e+01,-3.519229122756247818e+01,1.559538366993066916e+02
-6.947274027575021194e+01,-3.518722307041251440e+01,1.559543116158402540e+02
-6.944284084994099260e+01,-3.518628524077164599e+01,1.559546766681217491e+02
-6.941296485026188634e+01,-3.518414155851689884e+01,1.559550737845769959e+02
-6.938294799640627275e+01,-3.518917752806554944e+01,1.559552800064302005e+02
-6.935304573583402998e+01,-3.518844528861207266e+01,1.559556395787956831e+02
-6.932309999450521332e+01,-3.518980828184954390e+01,1.559559434695291031e+02
-6.929306007686744806e+01,-3.519637584234273930e+01,1.559561088896172691e+02
-6.926302836068029478e+01,-3.520224579072799997e+01,1.559562929203641772e+02
-6.923305080108937659e+01,-3.520548919928616982e+01,1.559565467564175663e+02
-6.920306791764909349e+01,-3.520878345075502125e+01,1.559567992898293767e+02
-6.917315045373098314e+01,-3.520849479884966371e+01,1.559571471418679778e+02
-6.914321418863123370e+01,-3.520939351557699126e+01,1.559574633727345372e+02
-6.911326372839366172e+01,-3.521109152117313101e+01,1.559577583349934002e+02
-6.908332388275847791e+01,-3.521188168647259431e+01,1.559580775169710307e+02
-6.905338692950265056e+01,-3.521280813599550186e+01,1.559583930121081607e+02
-6.902333914723718067e+01,-3.521958605011604249e+01,1.559585528817476074e+02
-6.899335185816214278e+01,-3.522319222343073619e+01,1.559587971022103261e+02
-6.896342120657791952e+01,-3.522355735707928659e+01,1.559591275753227535e+02
-6.893348920241716371e+01,-3.522402644491007351e+01,1.559594552766637321e+02
-6.890354863585662315e+01,-3.522481895534290430e+01,1.559597744039610347e+02
-6.887372797550187897e+01,-3.521934875173941748e+01,1.559602600797000491e+02
-6.884397639088500398e+01,-3.520996055399442781e+01,1.559608500167238390e+02
-6.881399142470141328e+01,-3.521330803560546485e+01,1.559611011466431023e+02
-6.878398137496624543e+01,-3.521799309312643089e+01,1.559613166995563915e+02
-6.875407526541258107e+01,-3.521697907207908429e+01,1.559616838706127453e+02
-6.872423377057850757e+01,-3.521242360159293838e+01,1.559621452580108780e+02
-6.869434113421080212e+01,-3.521063104348547768e+01,1.559625331494991087e+02
-6.866428541770144989e+01,-3.521759164571698619e+01,1.559626882112300166e+02
-6.863430387689241741e+01,-3.522059266234920472e+01,1.559629485913889653e+02
-6.860454077259284134e+01,-3.521167096429297771e+01,1.559635261519040910e+02
-6.857493017541327163e+01,-3.519446027973746283e+01,1.559643242172649309e+02
-6.854480945521407875e+01,-3.520495320958030305e+01,1.559643853116442074e+02
-6.851478917378095446e+01,-3.521003108985268426e+01,1.559645904487819337e+02
-6.848492636674072287e+01,-3.520639728670976609e+01,1.559650273673544234e+02
-6.845509504013493540e+01,-3.520124565498709757e+01,1.559655046230212747e+02
-6.842515503717335434e+01,-3.520180713338149303e+01,1.559658299381834183e+02
-6.839522793992813376e+01,-3.520165014051170971e+01,1.559661743697858185e+02
-6.836531171134170393e+01,-3.520094793450038395e+01,1.559665332957088992e+02
