X(mm),Y(mm),Z(mm)
-7.398971945923631210e+01,-3.502163476039326184e+01,1.559074005494959749e+02
-7.395968874460203324e+01,-3.502969884211805152e+01,1.559075257412632141e+02
-7.392965041817133454e+01,-3.503836106220648361e+01,1.559076349826898991e+02
-7.389980388994837313e+01,-3.503733070794724824e+01,1.559080019143182767e+02
-7.387013745815551147e+01,-3.502752222156745887e+01,1.559086021517827021e+02
-7.384033998041124391e+01,-3.502404614477604383e+01,1.559090340988169601e+02
-7.381054464090203737e+01,-3.502038760624088098e+01,1.559094709135816856e+02
-7.378060946257632224e+01,-3.502376823880524626e+01,1.559097205886733661e+02
-7.375074631729521002e+01,-3.502362927903592293e+01,1.559100638097548881e+02
-7.372082920890049706e+01,-3.502592680515003565e+01,1.559103423189258706e+02
-7.369109088816806263e+01,-3.501953152184118778e+01,1.559108518611980116e+02
-7.366124332813527076e+01,-3.501848955487962201e+01,1.559112191159081817e+02
-7.363125854752011890e+01,-3.502429516721057468e+01,1.559114043380080261e+02
-7.360127654491202520e+01,-3.502987446956595363e+01,1.559115955961937914e+02
-7.357150861630617555e+01,-3.502468008962264889e+01,1.559120732772643976e+02
-7.354158926245639805e+01,-3.502710004747214612e+01,1.559123485294071259e+02
-7.351157480808889488e+01,-3.503413436859137420e+01,1.559125011455545007e+02
-7.348166554852652155e+01,-3.503610399697468836e+01,1.559127883568654340e+02
-7.345189653246200123e+01,-3.503094885703986705e+01,1.559132649982225303e+02
-7.342210913869627120e+01,-3.502687452426407333e+01,1.559137128706462647e+02
-7.339230702423961361e+01,-3.502322282399467923e+01,1.559141495790881891e+02
-7.336242672995155090e+01,-3.502357810948912231e+01,1.559144797437620298e+02
-7.333261931916288745e+01,-3.502032361246043024e+01,1.559149058628746900e+02
-7.330296024877117134e+01,-3.500964856667379621e+01,1.559155292502466068e+02
-7.327295709631584941e+01,-3.501608253449052199e+01,1.559156978341694071e+02
-7.324293349544797138e+01,-3.502340569415527938e+01,1.559158428101572156e+02
-7.321293094078450281e+01,-3.502978195249233551e+01,1.559160129345509063e+02
-7.318305060337094403e+01,-3.503008182820544647e+01,1.559163445853239409e+02
-7.315315910132949284e+01,-3.503089442618814076e+01,1.559166626162638636e+02
-7.312343106519367097e+01,-3.502343190556801034e+01,1.559172006556493955e+02
-7.309375243964878166e+01,-3.501347961988935253e+01,1.559178048871848432e+02
-7.306417048186506236e+01,-3.499873255919549564e+01,1.559185365739741940e+02
-7.303421608330386050e+01,-3.500267690573525670e+01,1.559187713536574336e+02
-7.300421458309210720e+01,-3.500890545044060786e+01,1.559189454264599988e+02
-7.297450316373739554e+01,-3.500040574285232253e+01,1.559195110852832329e+02
-7.294461195477641979e+01,-3.500111205706188855e+01,1.559198319624987050e+02
-7.291457750300038754e+01,-3.500884651016956184e+01,1.559199660345269081e+02
-7.288453847916034078e+01,-3.501694357708906580e+01,1.559200904363799225e+02
-7.285462595792427010e+01,-3.501859456201222542e+01,1.559203862280200212e+02
-7.282470260178652666e+01,-3.502073519260847689e+01,1.559206690147923950e+02
-7.279476732540547346e+01,-3.502345323456151505e+01,1.559209364559224866e+02
-7.276505157603175178e+01,-3.501520983446488344e+01,1.559214952920308690e+02
-7.273470345877549903e+01,-3.503882990773514905e+01,1.559212070156060577e+02
-7.270488365766746597e+01,-3.503558688330731030e+01,1.559216329679809974e+02
-7.267529222935237954e+01,-3.502102434316837787e+01,1.559223598151967281e+02
-7.264563109087809778e+01,-3.500981759288955431e+01,1.559229974817744449e+02
-7.261575127367682114e+01,-3.500949847630888456e+01,1.559233457226290511e+02
-7.258593478764871065e+01,-3.500630150785969619e+01,1.559237704024956770e+02
-7.255595602468659422e+01,-3.501095277637370629e+01,1.559239865056568703e+02
-7.252591068720292355e+01,-3.501910087704348484e+01,1.559241096110039564e+02
-7.249603412428555771e+01,-3.501885336544516747e+01,1.559244558950391308e+02
-7.246612549646164325e+01,-3.502006326182932838e+01,1.559247634685799255e+02
-7.243615895447855735e+01,-3.502407249104172138e+01,1.559249966467245088e+02
-7.240630834450107045e+01,-3.502244611478293734e+01,1.559253796048876382e+02
-7.237656547966055598e+01,-3.501509172453493335e+01,1.559259149137343172e+02
-7.234673266053670204e+01,-3.501237514963889197e+01,1.559263268993002498e+02
-7.231707305200399105e+01,-3.500087475134776582e+01,1.559269724215735096e+02
-7.228750255908458655e+01,-3.498476405159208014e+01,1.559277405389784121e+02
-7.225736868994367512e+01,-3.499738164085919578e+01,1.559277448179329326e+02
-7.222722774239920795e+01,-3.501019787445670772e+01,1.559277438514423295e+02
-7.219733755073981740e+01,-3.501019518668664432e+01,1.559280837263660544e+02
-7.216756767069905720e+01,-3.500418026969008167e+01,1.559285834292962818e+02
-7.213765583627009903e+01,-3.500553337006836330e+01,1.559288871998039667e+02
-7.210776936084846511e+01,-3.500519576601364946e+01,1.559292360120251715e+02
-7.207775836732869834e+01,-3.501157256393185691e+01,1.559294062178880438e+02
-7.204761601813419247e+01,-3.502447670230293397e+01,1.559294029104895571e+02
-7.201751618979142222e+01,-3.503505494911320284e+01,1.559294614799025851e+02
