X(mm),Y(mm),Z(mm)
-7.670450635015808416e+01,-3.507595714180683899e+01,1.558750813839803016e+02
-7.667455153864976580e+01,-3.508204309984237312e+01,1.558752587489439350e+02
-7.664456557649576496e+01,-3.508944285240690419e+01,1.558754012434847027e+02
-7.661458729581491411e+01,-3.509660479355422780e+01,1.558755500267357093e+02
-7.658463839377036209e+01,-3.510257764717658802e+01,1.558757303569960584e+02
-7.655495354113176631e+01,-3.509578913390051014e+01,1.558762498344343044e+02
-7.652526395729414332e+01,-3.508934690842128390e+01,1.558767600812283831e+02
-7.649541515071673814e+01,-3.509046873009437917e+01,1.558770693360974633e+02
-7.646574411988858344e+01,-3.508293433117206206e+01,1.558776086545769886e+02
-7.643618673292314725e+01,-3.507022548428778208e+01,1.558782854148496142e+02
-7.640660684358849153e+01,-3.505851170006155115e+01,1.558789357520021497e+02
-7.637654080494714037e+01,-3.506949283677299434e+01,1.558789831352743818e+02
-7.634655285887039611e+01,-3.507696894925241082e+01,1.558791236050595899e+02
-7.631673397528390979e+01,-3.507644447171460911e+01,1.558794766591948360e+02
-7.628687542686419931e+01,-3.507788724121607515e+01,1.558797774197804245e+02
-7.625687092962660074e+01,-3.508590602257207536e+01,1.558799035280608223e+02
-7.622691444123107374e+01,-3.509201065168328881e+01,1.558800804114919458e+02
-7.619715156181986515e+01,-3.508857227376032029e+01,1.558805109544432810e+02
-7.616737027086864487e+01,-3.508617984295042902e+01,1.558809136634894514e+02
-7.613779757180536478e+01,-3.507378940129320455e+01,1.558815820609738125e+02
-7.610819764422529943e+01,-3.506276117426877192e+01,1.558822142452405615e+02
-7.607830955550659269e+01,-3.506533768788145267e+01,1.558824849444841902e+02
-7.604843727638152018e+01,-3.506704602054803388e+01,1.558827787410686767e+02
-7.601838059215900500e+01,-3.507759794830579381e+01,1.558828375256515812e+02
-7.598819266243692994e+01,-3.509433575934112071e+01,1.558827319506354740e+02
-7.595852155870377942e+01,-3.508658867353127420e+01,1.558832769723583169e+02
-7.592899934369015114e+01,-3.507163039050736586e+01,1.558840136431173562e+02
-7.589911602450429484e+01,-3.507378901946346161e+01,1.558842954921750561e+02
-7.586906936502082033e+01,-3.508389771240328514e+01,1.558843660465000198e+02
-7.583917852388954373e+01,-3.508626649961495758e+01,1.558846423464514146e+02
-7.580930076970288667e+01,-3.508833048265378096e+01,1.558849266698253473e+02
-7.577947867994633668e+01,-3.508751739635862066e+01,1.558852874983889762e+02
-7.574964142040253989e+01,-3.508750785673523609e+01,1.558856269552678100e+02
-7.571997652768365583e+01,-3.507917410949046655e+01,1.558861876355443030e+02
-7.569043460422311398e+01,-3.506489439544118625e+01,1.558869063370318315e+02
-7.566073859949804614e+01,-3.505785822420579478e+01,1.558874325812859638e+02
-7.563088193079983057e+01,-3.505858292509307006e+01,1.558877525728638602e+02
-7.560080605073078175e+01,-3.506981869107436722e+01,1.558877932410723020e+02
-7.557074023755468772e+01,-3.508063189423211981e+01,1.558878451243002985e+02
-7.554071162717593779e+01,-3.508963708186853836e+01,1.558879450598612664e+02
-7.551094347398587558e+01,-3.508598610212450808e+01,1.558883813629006738e+02
-7.548113413353449630e+01,-3.508443869756567324e+01,1.558887617345615695e+02
-7.545112218747573252e+01,-3.509249259412666078e+01,1.558888869860381874e+02
-7.542141304892338383e+01,-3.508602447099843857e+01,1.558893981494875334e+02
-7.539174136934087755e+01,-3.507771131033827317e+01,1.558899583549662964e+02
-7.536176602136642089e+01,-3.508397799526915151e+01,1.558901311078709853e+02
-7.533184670693320584e+01,-3.508768385662866507e+01,1.558903718828053115e+02
-7.530215561263686652e+01,-3.508012113113108654e+01,1.558909121888464995e+02
-7.527247952974688872e+01,-3.507209419835024278e+01,1.558914647702387128e+02
-7.524269998359233114e+01,-3.506885874027231154e+01,1.558918900621165449e+02
-7.521294627119765153e+01,-3.506432089335650915e+01,1.558923499790600715e+02
-7.518302527338688890e+01,-3.506774738413718495e+01,1.558925982634234515e+02
-7.515306434489747289e+01,-3.507319441112231573e+01,1.558927928285069981e+02
-7.512320999882754791e+01,-3.507357741638982418e+01,1.558931219549883167e+02
-7.509336868959628930e+01,-3.507329537909251371e+01,1.558934687639256822e+02
-7.506357902599300758e+01,-3.507042012154901300e+01,1.558938845133735072e+02
-7.503377625474328738e+01,-3.506819373296787745e+01,1.558942830148057226e+02
-7.500398052997111620e+01,-3.506540620670195096e+01,1.558946964809685483e+02
-7.497421168779088418e+01,-3.506159104994959819e+01,1.558951371936416024e+02
-7.494439112551469862e+01,-3.505999504958811741e+01,1.558955189957935943e+02
-7.491446444614851430e+01,-3.506378414415217293e+01,1.558957576228638402e+02
-7.488458262454204828e+01,-3.506514626551795288e+01,1.558960608103100469e+02
-7.485468716627272556e+01,-3.506720346889876794e+01,1.558963455167221355e+02
-7.482476075246728442e+01,-3.507094872001871266e+01,1.558965853162736437e+02
-7.479510254778581668e+01,-3.506130733198904892e+01,1.558971809800831636e+02
-7.476524124625289858e+01,-3.506174806481173789e+01,1.558975086378852666e+02
-7.473520835267325424e+01,-3.507054136363995411e+01,1.558976143031562458e+02
-7.470530445677633224e+01,-3.507285262183172847e+01,1.558978922939476490e+02
-7.467573832233082953e+01,-3.505884202071020894e+01,1.558986040554039789e+02
-7.464610995168662555e+01,-3.504787492512587477e+01,1.558992349240079704e+02
-7.461633738039613206e+01,-3.504384255052396213e+01,1.558996815029705090e+02
-7.458653457136934151e+01,-3.504108027664546654e+01,1.559000943726201456e+02
-7.455678430719090954e+01,-3.503599712351166318e+01,1.559005688707382546e+02
-7.452692006059233165e+01,-3.503621613497964660e+01,1.559009025066613958e+02
-7.449694276655054637e+01,-3.504203291880328663e+01,1.559010873441286833e+02
-7.446690296855268798e+01,-3.505093726253155495e+01,1.559011901106321716e+02
-7.443695575952710897e+01,-3.505547008807882747e+01,1.559014090306877733e+02
-7.440700831242889990e+01,-3.505965192953069476e+01,1.559016373637939523e+02
-7.437695638321213210e+01,-3.506913364423979118e+01,1.559017247881362209e+02
-7.434727112305066044e+01,-3.506068123244164525e+01,1.559022888815097758e+02
-7.431767529929439320e+01,-3.504772094368168922e+01,1.559029728202328045e+02
-7.428769551043399133e+01,-3.505368330378178854e+01,1.559031537829711453e+02
-7.425757234669163154e+01,-3.506656214059987065e+01,1.559031509358331391e+02
-7.422813857696809237e+01,-3.504552601317325866e+01,1.559040495560959130e+02
-7.419809159243422414e+01,-3.505457371712502379e+01,1.559041485606229855e+02
-7.416766333014867030e+01,-3.508238021419818864e+01,1.559037489518018731e+02
-7.413769908460682245e+01,-3.508745586509071757e+01,1.559039535116752404e+02
-7.410828923010744518e+01,-3.506519579070063486e+01,1.559048846756848263e+02
-7.407846205065345657e+01,-3.506344267740926313e+01,1.559052707654671508e+02
-7.404870079888573287e+01,-3.505829709518203430e+01,1.559057470623021686e+02
-7.401872709369447989e+01,-3.506371226268517205e+01,1.559059426268305515e+02
-7.398888382098196814e+01,-3.506283207430352888e+01,1.559063054953048777e+02
-7.395909810151580643e+01,-3.505885269804580417e+01,1.559067508027856661e+02
-7.392934651872495522e+01,-3.505325671749412919e+01,1.559072390654701792e+02
-7.389950591325820994e+01,-3.505212939611296008e+01,1.559076085295822622e+02
